CONTEXT,ID,TEXT
AccessPermitInner,ARSTOTZKA,아스토츠카
AccessPermitInner,Access Permit,입경 허가서
AccessPermitInner,This permit grants conditional access to the sovereign nation of Arstotzka,이 문서는 아스토츠카 자치령 내로 조건부 입국을 허가함
AccessPermitInner,NAME,성명
AccessPermitInner,NATIONALITY,국적
AccessPermitInner,PURPOSE,목적
AccessPermitInner,HEIGHT,신장
AccessPermitInner,PHYSICAL APPEARANCE,외양
AccessPermitInner,ID NUMBER,주민번호
AccessPermitInner,DURATION,체류기간
AccessPermitInner,WEIGHT,체중
AccessPermitInner,ENTER BY,기한
AccessPermitInner,Keep on person,반드시 소지할 것
AccessPermitInner,Ministry of Admission,국경 관리성
AsylumGrantInner,Arstotzka,아스토츠카
AsylumGrantInner,GRANT of ASYLUM,망명 허가서
AsylumGrantInner,This document grants conditional asylum status within Arstotzkan borders,이 문서는 아스토츠카 국경 내로 조건부 망명을 허가함
AsylumGrantInner,NAT,국적
AsylumGrantInner,ID#,주민
AsylumGrantInner,DOB,생일
AsylumGrantInner,HT,신장
AsylumGrantInner,WT,체중
AsylumGrantInner,Offer expires after,만료 기한
AsylumGrantInner,Ministry of Admission,국경 관리성
BizCardInnerFront,ENGINEERING,기술직
BizCardInnerFront,Director,대표이사
BizCardInnerBack,WE NEED ENGINEERS,기술자 요망
BizCardInnerBack,WILL BEAT .GOV PAY,최저 임금 보장
BizCardInnerBack,CONTACT NOW,바로 연락하십시오
BrothelHelpInner,A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.,<span>Dari Ludum</span>이라는 남자가 저희 자매에게 아스토츠카에 좋은 일자리가 있댔어요.
BrothelHelpInner,I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.,신뢰할 수 없는 사람이에요. 여권을 뺏고 사창가에 팔아버릴까 두려워요. 오늘 검문소를 지나간다더군요.
BrothelHelpInner,Please do something.,제발 도와주세요.
BulletinInnerDiploTut,Diplomat,외교관
BulletinInnerDiploTut,Verification Procedure,검증 절차
BulletinInnerDiploTut,Verify issuing country,발권 국가 확인
BulletinInnerDiploTut,Verify identity,신분 확인
BulletinInnerDiploTut,Verify diplomatic access to Arstotzka,아스토츠카로의 외교 입국권이 있는지 확인 요망
BulletinInnerMissingTut,Missing documents can be correlated by highlighting counter and pertinent entry in rule book.,누락된 문서는 붉은색으로 강조된 선반과 규정집의 관련 항목을 연관시켜 색출하십시오.
BulletinInnerRuleTut,Correlate pertinent entry in rule book with violating information to enable further options.,규정집의 관련 항목과 위반한 정보를 연관시켜 추가 정보를 얻으십시오.
BulletinInnerContraTut,Correlate discovered weapons and contraband with rulebook entry.,발견한 무기나 밀수품을 규정집의 항목과 연관시키십시오.
BulletinInnerCorrelateTut,Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.,"붉은색으로 강조된 것처럼 모순된 정보를 발견한다면, ""심문"" 모드로 취조하십시오."
BulletinInnerPassportTut,Pay attention to passport nationality.,여권의 국적이 잘못되지 않았는지 확인하십시오.
BulletinInnerBoothTut,Arstotzkan<br>Ministry of Admission,아스토츠카<br>국경 관리성
BulletinInnerBoothTut,Inspector's Booth,검문실
BulletinInnerBoothTut,Shutter,덧문
BulletinInnerBoothTut,Counter,선반
BulletinInnerBoothTut,Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date,규정집<br>녹취록<br>소식지 보관함<br>시간 &amp; 날짜
BulletinInnerGunTut,Weapons Protocol,무기 사용 규약
BulletinInnerGunTut,WHEN ALARM SOUNDS,경고음이 울렸을때
BulletinInnerGunTut,Drop key on tumbler to unlock weapon.,열쇠를 자물쇠에 꽂아 무기고를 열으십시오.
BulletinInnerGunTut,"Select gun, aim and fire.","총을 선택해, 조준 후 발사하십시오."
BulletinInnerGunTut,Time is short. Act fast.,시간은 많지 않습니다. 빠르게 행동하십시오.
BulletinInnerFilerTut,Passport Confiscation,여권 압수
BulletinInnerFilerTut,Verify ALTAN resident on id.,신분증을 보고 알탄 주민인지 확인합니다.
BulletinInnerFilerTut,Drop passport in confiscation drawer.,여권을 압수 서랍에 넣습니다.
BulletinInnerFilerTut,"If arresting, confiscate before detaining.","체포해야 한다면, 구금 전에 압수하십시오."
BulletinInnerCriminals,Ministry of Justice,치안성
BulletinInnerCriminals,WANTED CRIMINALS,지명 수배범
BulletinInnerNews,NEWS,소식
BulletinPagesNote,CHECK ALL<br>PAGES,모든 페이지를<br>확인하세요
CitationInner,M.O.A. CITATION,국경 관리성 고지문
DiplomaticAuthInner,Diplomatic<br>Authorization,외교관<br>권한서
DiplomaticAuthInner,This document authorizes named agent as a diplomatic entity of a Council of Nations member state.,이 문서는 해당인을 세계 위원회 회원국의 외교 대리인으로 임명했음을 증명합니다.
DiplomaticAuthInner,AGENT,대리인
DiplomaticAuthInner,PASSPORT,여권
DiplomaticAuthInner,Unconditional access to all named Council of Nations member states must be granted upon presentation.,"기재된 세계 위원회 회원국 출신이 이 문서를 제출하면, 조건 없이 입국을 허가하십시오."
DiplomaticAuthInner,This document has no expiry.,이 문서는 만료 기한이 없습니다.
DiplomaticAuthInner,COUNCIL OF NATIONS - SEVEN MEMBER FORUM,세계 위원회 - 칠자 회담
EntryPermitInner,ARSTOTZKA,아스토츠카
EntryPermitInner,Entry Permit,입국 허가서
EntryPermitInner,Conditional entry to the sovereign nation of Arstotzka is hereby granted to,아래 인물에게 아스토츠카 자치령의 조건부 입국을 허가함
EntryPermitInner,bearing passport number,여권번호
EntryPermitInner,Purpose,목적
EntryPermitInner,Duration,체류기간
EntryPermitInner,Enter by,입국기일
EntryPermitInner,Ministry of Admission,국경 관리성
EntryTicketInner,Arstotzka,아스토츠카
EntryTicketInner,ENTRY TICKET,입국 표
EntryTicketInner,VALID ON,입국 기일
EzicNoteInnerOpen,READ QUICKLY,빠르게 읽고
EzicNoteInnerOpen,RETURN TO MESSENGER,전령에게 되돌려 줄 것
FamilyPhotoInner,HANG ON WALL,벽걸이용
FingerprintsInner,GIVE THIS PAPER TO APPLICANT,입국 신청자에게 이 종이를 줄 것
